X,Y,ID,Ottawa__Police_Division,Ottawa_Police_Sector,Report_Date,Incident_StartDate,Incident_EndDate,Weekday,Location_Type,Primary_Offence,ONS_Neighbourhood_2019,Bicycle_Status,Bicycle_Value,Bicycle_Make,Bicycle_Model,Bicycle_Type,Bicycle_Frame,Bicycle_Colour,Bicycle_Speed,X,Y,Census_Tract_Unique_ID,Census_Tract_Name,Object_ID,OBJECTID
357810.6559,5020545.479,78,West,15,4-Sep-16,3-Sep-16,4-Sep-16,7,,THEFT<BICYCLE,Bells Corners East,Stolen,150,SUPERCYCLE,UNKNOWN,REGULAR,CHILD'S,"Purple, Lavender, Mauve, Black",1,357810.6559,5020545.479,5050136.01,136.01,78,77
357810.6559,5020545.479,79,West,15,12-Sep-16,27-Aug-16,28-Aug-16,7,Parking Lots,THEFT<BICYCLE,Bells Corners East,Stolen,400,MONGOOSE,DOLOMITE,OTHER,MEN'S,Dark Blue,7,357810.6559,5020545.479,5050136.01,136.01,79,78
358888.6641,5021150.485,80,West,15,28-Oct-16,24-Oct-16,25-Oct-16,2,,THEFT<BICYCLE,Bells Corners East,Stolen,200,RALEIGH,WOMEN'S BIKE,REGULAR,WOMEN'S,Brown,5,358888.6641,5021150.485,5050136.01,136.01,80,79
359078.6649,5020885.483,81,West,15,21-Jun-17,21-Jun-17,21-Jun-17,4,High school,THEFT<BICYCLE,Bells Corners East,Stolen,249.49,SUPERCYCLE VIE,DUAL SUSPENSION,MOUNTAIN,WOMEN'S,Other,,359078.6649,5020885.483,5050135.02,135.02,81,80
358164.6589,5020640.48,82,West,15,31-Aug-17,31-Jul-17,31-Aug-17,2,,THEFT<BICYCLE,Bells Corners East,Stolen,319.99,CCM,700C VELOCI,HYBRID,MEN'S,Green,21,358164.6589,5020640.48,5050136.01,136.01,82,81
358137.6589,5021086.484,83,West,15,6-Dec-17,5-Dec-17,5-Dec-17,3,Bar/ Coffee/ Restaurant,THEFT<BICYCLE,Bells Corners East,Recovered,,OPUS,AVRO 2.0,MOUNTAIN,MEN'S,"Red, White",21,358137.6589,5021086.484,,,83,82
359078.6649,5020885.483,84,West,15,8-May-18,8-May-18,8-May-18,3,High school,THEFT<BICYCLE,Bells Corners East,Stolen,900,BUSHTUKAH,UNKNOWN,MOUNTAIN,MEN'S,White,10,359078.6649,5020885.483,5050135.02,135.02,84,83
359078.6649,5020885.483,85,West,15,16-May-18,16-May-18,16-May-18,4,High school,THEFT<BICYCLE,Bells Corners East,Stolen,400,TREK,UNKNOWN,MOUNTAIN,MEN'S,Black,21,359078.6649,5020885.483,5050135.02,135.02,85,84
357684.6551,5020216.476,86,West,15,27-Jul-18,29-Jun-18,23-Jul-18,6,,THEFT<BICYCLE,Bells Corners East,Stolen,100,CCM,BREEZE,TOURING,WOMEN'S,Blue,1,357684.6551,5020216.476,5050136.01,136.01,86,85
357352.56,5020723.904,87,West,15,24-Aug-18,14-Aug-18,14-Aug-18,3,Convenience Store / Chain Store/ Grocery Store/ Small Business,THEFT<BICYCLE,Bells Corners East,Stolen,400,TREK,MARLIN 4,REGULAR,UNISEX,Black,21,357352.56,5020723.904,5050136.02,136.02,87,86
