Date,Province,HA,HSDA,Cases_Reported,Cases_Reported_Smoothed,Year,Month,Day,Day of Week
2020-03-22,BC,Vancouver Island,South Vancouver Island,4,2.71,2020,03,22,Sunday
2020-03-23,BC,Vancouver Coastal,Vancouver,15,17.29,2020,03,23,Monday
2020-03-23,BC,Vancouver Island,Central Vancouver Island,0,0.86,2020,03,23,Monday
2020-03-23,BC,Vancouver Island,North Vancouver Island,0,1.14,2020,03,23,Monday
2020-03-23,BC,Vancouver Island,South Vancouver Island,1,2.29,2020,03,23,Monday
2020-03-24,BC,Vancouver Coastal,Vancouver,15,18.14,2020,03,24,Tuesday
2020-03-24,BC,Vancouver Island,Central Vancouver Island,0,0.86,2020,03,24,Tuesday
2020-03-24,BC,Vancouver Island,North Vancouver Island,0,0.86,2020,03,24,Tuesday
2020-03-24,BC,Vancouver Island,South Vancouver Island,3,2.71,2020,03,24,Tuesday
2020-03-25,BC,Vancouver Coastal,Vancouver,31,20.43,2020,03,25,Wednesday
2020-03-25,BC,Vancouver Island,Central Vancouver Island,0,0.71,2020,03,25,Wednesday
2020-03-25,BC,Vancouver Island,North Vancouver Island,3,0.86,2020,03,25,Wednesday
2020-03-25,BC,Vancouver Island,South Vancouver Island,2,2.57,2020,03,25,Wednesday
2020-03-26,BC,Vancouver Coastal,Vancouver,11,19.29,2020,03,26,Thursday
2020-03-26,BC,Vancouver Island,Central Vancouver Island,1,0.57,2020,03,26,Thursday
2020-03-26,BC,Vancouver Island,North Vancouver Island,2,0.86,2020,03,26,Thursday
2020-03-26,BC,Vancouver Island,South Vancouver Island,2,2.29,2020,03,26,Thursday
2020-03-27,BC,Vancouver Coastal,Vancouver,18,18.86,2020,03,27,Friday
2020-03-27,BC,Vancouver Island,Central Vancouver Island,0,0.43,2020,03,27,Friday
2020-03-27,BC,Vancouver Island,North Vancouver Island,2,1.0,2020,03,27,Friday
2020-03-27,BC,Vancouver Island,South Vancouver Island,1,2.0,2020,03,27,Friday
2020-03-28,BC,Vancouver Coastal,Vancouver,15,17.43,2020,03,28,Saturday
2020-03-28,BC,Vancouver Island,Central Vancouver Island,4,0.86,2020,03,28,Saturday
2020-03-28,BC,Vancouver Island,North Vancouver Island,1,1.14,2020,03,28,Saturday
2020-03-28,BC,Vancouver Island,South Vancouver Island,1,2.0,2020,03,28,Saturday
2020-03-29,BC,Vancouver Coastal,Vancouver,14,17.0,2020,03,29,Sunday
2020-03-29,BC,Vancouver Island,Central Vancouver Island,0,0.71,2020,03,29,Sunday
2020-03-29,BC,Vancouver Island,North Vancouver Island,0,1.14,2020,03,29,Sunday
2020-03-29,BC,Vancouver Island,South Vancouver Island,0,1.43,2020,03,29,Sunday
2020-03-30,BC,Vancouver Coastal,Vancouver,11,16.43,2020,03,30,Monday
2020-03-30,BC,Vancouver Island,Central Vancouver Island,1,0.86,2020,03,30,Monday
2020-03-30,BC,Vancouver Island,North Vancouver Island,0,1.14,2020,03,30,Monday
2020-03-30,BC,Vancouver Island,South Vancouver Island,0,1.29,2020,03,30,Monday
2020-03-31,BC,Vancouver Coastal,Vancouver,9,15.57,2020,03,31,Tuesday
2020-03-31,BC,Vancouver Island,Central Vancouver Island,1,1.0,2020,03,31,Tuesday
2020-03-31,BC,Vancouver Island,North Vancouver Island,0,1.14,2020,03,31,Tuesday
2020-03-31,BC,Vancouver Island,South Vancouver Island,4,1.43,2020,03,31,Tuesday
2020-04-01,BC,Vancouver Coastal,Vancouver,12,12.86,2020,04,01,Wednesday
2020-04-01,BC,Vancouver Island,Central Vancouver Island,0,1.0,2020,04,01,Wednesday
2020-04-01,BC,Vancouver Island,North Vancouver Island,0,0.71,2020,04,01,Wednesday
2020-04-01,BC,Vancouver Island,South Vancouver Island,0,1.14,2020,04,01,Wednesday
2020-04-02,BC,Vancouver Coastal,Vancouver,11,12.86,2020,04,02,Thursday
2020-04-02,BC,Vancouver Island,Central Vancouver Island,1,1.0,2020,04,02,Thursday
2020-04-02,BC,Vancouver Island,North Vancouver Island,0,0.43,2020,04,02,Thursday
2020-04-02,BC,Vancouver Island,South Vancouver Island,1,1.0,2020,04,02,Thursday
2020-04-03,BC,Vancouver Coastal,Vancouver,7,11.29,2020,04,03,Friday
2020-04-03,BC,Vancouver Island,Central Vancouver Island,1,1.14,2020,04,03,Friday
2020-04-03,BC,Vancouver Island,North Vancouver Island,1,0.29,2020,04,03,Friday
2020-04-03,BC,Vancouver Island,South Vancouver Island,1,1.0,2020,04,03,Friday
2020-04-04,BC,Vancouver Coastal,Vancouver,8,10.29,2020,04,04,Saturday
2020-04-04,BC,Vancouver Island,Central Vancouver Island,2,0.86,2020,04,04,Saturday
2020-04-04,BC,Vancouver Island,North Vancouver Island,1,0.29,2020,04,04,Saturday
2020-04-04,BC,Vancouver Island,South Vancouver Island,0,0.86,2020,04,04,Saturday
2020-04-05,BC,Vancouver Coastal,Vancouver,2,8.57,2020,04,05,Sunday
2020-04-05,BC,Vancouver Island,Central Vancouver Island,0,0.86,2020,04,05,Sunday
2020-04-05,BC,Vancouver Island,North Vancouver Island,0,0.29,2020,04,05,Sunday
2020-04-05,BC,Vancouver Island,South Vancouver Island,0,0.86,2020,04,05,Sunday
2020-04-06,BC,Vancouver Coastal,Vancouver,18,9.57,2020,04,06,Monday
2020-04-06,BC,Vancouver Island,Central Vancouver Island,0,0.71,2020,04,06,Monday
2020-04-06,BC,Vancouver Island,North Vancouver Island,0,0.29,2020,04,06,Monday
2020-04-06,BC,Vancouver Island,South Vancouver Island,0,0.86,2020,04,06,Monday
2020-04-07,BC,Vancouver Coastal,Vancouver,4,8.86,2020,04,07,Tuesday
2020-04-07,BC,Vancouver Island,Central Vancouver Island,1,0.71,2020,04,07,Tuesday
2020-04-07,BC,Vancouver Island,North Vancouver Island,1,0.43,2020,04,07,Tuesday
2020-04-07,BC,Vancouver Island,South Vancouver Island,0,0.29,2020,04,07,Tuesday
2020-04-08,BC,Vancouver Coastal,Vancouver,7,8.14,2020,04,08,Wednesday
2020-04-08,BC,Vancouver Island,Central Vancouver Island,0,0.71,2020,04,08,Wednesday
2020-04-08,BC,Vancouver Island,North Vancouver Island,0,0.43,2020,04,08,Wednesday
2020-04-08,BC,Vancouver Island,South Vancouver Island,1,0.43,2020,04,08,Wednesday
2020-04-09,BC,Vancouver Coastal,Vancouver,5,7.29,2020,04,09,Thursday
2020-04-09,BC,Vancouver Island,Central Vancouver Island,1,0.71,2020,04,09,Thursday
2020-04-09,BC,Vancouver Island,North Vancouver Island,0,0.43,2020,04,09,Thursday
2020-04-09,BC,Vancouver Island,South Vancouver Island,1,0.43,2020,04,09,Thursday
2020-04-10,BC,Vancouver Coastal,Vancouver,8,7.43,2020,04,10,Friday
2020-04-10,BC,Vancouver Island,Central Vancouver Island,0,0.57,2020,04,10,Friday
2020-04-10,BC,Vancouver Island,North Vancouver Island,0,0.29,2020,04,10,Friday
2020-04-10,BC,Vancouver Island,South Vancouver Island,0,0.29,2020,04,10,Friday
2020-04-11,BC,Vancouver Coastal,Vancouver,2,6.57,2020,04,11,Saturday
2020-04-11,BC,Vancouver Island,Central Vancouver Island,0,0.29,2020,04,11,Saturday
2020-04-11,BC,Vancouver Island,North Vancouver Island,1,0.29,2020,04,11,Saturday
2020-04-11,BC,Vancouver Island,South Vancouver Island,1,0.43,2020,04,11,Saturday
2020-04-12,BC,Vancouver Coastal,Vancouver,1,6.43,2020,04,12,Sunday
2020-04-12,BC,Vancouver Island,Central Vancouver Island,0,0.29,2020,04,12,Sunday
2020-04-12,BC,Vancouver Island,North Vancouver Island,0,0.29,2020,04,12,Sunday
2020-04-12,BC,Vancouver Island,South Vancouver Island,1,0.57,2020,04,12,Sunday
2020-04-13,BC,Vancouver Coastal,Vancouver,7,4.86,2020,04,13,Monday
2020-04-13,BC,Vancouver Island,Central Vancouver Island,0,0.29,2020,04,13,Monday
2020-04-13,BC,Vancouver Island,North Vancouver Island,2,0.57,2020,04,13,Monday
2020-04-13,BC,Vancouver Island,South Vancouver Island,0,0.57,2020,04,13,Monday
2020-04-14,BC,Vancouver Coastal,Vancouver,6,5.14,2020,04,14,Tuesday
